"id","id_dz","id_pyt","pytanie","odpa","odpb","odpc"
1,1,1,"Czy opór elektryczny przewodu zależy od materiału z którego jest wykonany?","zależy","nie zależy","zależy od izolacji przewodu"
2,1,2,"Izolatorami nazywamy materiały które:","nie przewodzą prądu elektrycznego","przewodzą słabo","przewodzą prąd przy wysokim napięciu"
3,1,3,"Który przewód o tej samej długości i przekroju będzie miał największą oporność?","wykonany z aluminium","wykonany z żelaza","wykonany z miedzi"
4,1,4,"Który z materiałów ma własności półprzewodnikowe?","złoto","german","platyna"
5,1,5,"Żarówka 12 V pobiera z baterii 0,1 A. Jaką oporność ma żarówka?","oporność 120 om","oporność 12 om","oporność 1,2 kom"
6,1,6,"Żarówka ma moc 24 W i pobiera z akumulatora 2 A. Jakie jest napięcie akumulatora?","napięcie wynosi 24 V","napięcie wynosi 12 V","napięcie wynosi 48 V"
7,1,7,"Źródła chemiczne prądu dają prąd:","stały","zmienny","pulsujący"
8,1,8,"Akumulator ma pojemność 20 Ah. Jak długo będzie świecić z niego żarówka pobierająca 4 A?","5 godzin","4 godziny","80 godzin"
9,1,9,"Ile bateryjek 4,5 V potrzebujemy połączyć w szereg, by uzyskać baterię anodową o napięciu 90 V?","15 szt.","10 szt.","20 szt."
10,1,10,"Ładunki elektryczne w przestrzeni przyciągają się jeżeli:","są jednoimienne","są różnoimienne","są daleko"
11,1,11,"Materiały ferromagnetyczne to materiały które przewodzą pole magnetyczne:","lepiej niż powietrze","tak jak powietrze","gorzej niż powietrze"
12,1,12,"Jaki kierunek przyjmuje pole magnetyczne wokół przewodnika z prądem?","jest prostopadłe do przewodu","jest do niego równoległe","jest ukośne do przewodu"
13,1,13,"Jeżeli składowa elektryczna fali jest prostopadła do ziemi to fala ma polaryzację?","poziomą","pionową","kołową"
14,1,14,"Czy prędkość fali elektromagnetycznej zależy od ośrodka w którym się rozchodzi?","tak","nie zależy","jest zawsze jednakowa"
15,1,15,"Długość fali wynosi 1500 metrów. Jaka jest częstotliwość tej fali?","2 MHz","200 kHz","233 kHz"
16,1,16,"Jaki zakres częstotliwości dźwięków wystarcza dla zrozumiałego nadawania mowy?","od 300 Hz do 3,2 kHz","od 100Hz do 5 kHz","od 20 Hz do 15 kHz"
17,1,17,"Nadajnik UKF ma kwarc kanałowy 12 MHz. Ile razy musi być powielony, by uzyskać 144 MHz?","16 razy","12 razy","18 razy"
18,1,18,"Modulacja telegraficzna CW polega na:","przerywaniu fali nośnej","zmianie jej częstotliwości","zmianie jej amplitudy"
19,1,19,"Kanał radiowy nadajnika telegraficznego CW jest:","bardzo szeroki","bardzo wąski","średni"
20,1,20,"Przy modulacji częstotliwości FM szerokość kanału radiowego dla nadajników amatorskich UKF wynosi:","12,5 kHz","50 kHz","200 kHz"
21,1,21,"Jaka jest szerokość kanału radiowego przy emisji SSB?","9 kHz","3,5 kHz","1,5 kHz"
22,1,22,"Amatorska telewizja z powolnym analizowaniem SSTV może być stosowana do łączności prowadzonych:","na duże odległości na falach krótkich","tylko na UKF","tylko w internecie"
23,1,23,"Która z podanych mocy PEP odpowiada napięciu maksymalnemu U max = 100 V, zmierzonemu oscyloskopem na wyjściu nadajnika, na obciążeniu 50 om?","200 W","100 W","50 W"
24,1,24,"Opornik warstwowy metalizowany jest wykonany jako:","metalowa warstwa oporowa na wałku ceramicznym","warstwa drutu oporowego nawiniętego na wałku ceramicznym","warstwa oporowa węglowa na wałku ceramicznym"
25,1,25,"Do cewki powietrznej 100 uH wkładamy rdzeń ferrytowy o względnej przenikalności μ =10. Ile wyniesie indukcyjność cewki?","wzrośnie do 1000 μH","nie zmieni się","zmaleje do 10 μH"
26,1,26,"Są dwie cewki powietrzne. Przy tej samej średnicy i ilości zwojów, L1 jest nawinięta drutem dwa razy grubszym niż L2. Która z nich ma większą dobroć Q?","cewka L2","cewka L1","obie mają taką samą dobroć, bo mają tą samą średnicę"
27,1,27,"Przekładnia transformatora wynosi 20 do 1. Strona pierwotna włączona jest na napięcie sieci 240 V. Jakie napięcie będzie po stronie wtórnej?","24 V","12 V","20 V"
28,1,28,"Diody prostownicze zasilające są stosowane do:","prostowania prądów wysokiej częstotliwości","do prostowania prądu w zasilaczach","do stabilizacji napięć"
29,1,29,"Diody Zenera to diody do:","stabilizacji napięć","świecące","na bardzo wysokie częstotliwości"
30,1,30,"Warikap to dioda:","dioda mikrofalowa","dioda pojemnościowa","dioda stabilizacyjna"
31,1,31,"Z jakich pierwiastków wykonywane są tranzystory i obwody scalone?","z absolutnie czystego krzemu i germanu","z czystego krzemu i germanu z domieszkami boru i arsenu","z krzemu i tlenków krzemu"
32,1,32,"Do jakiego typu układów scalonych należy scalony wzmacniacz akustyczny?","do układów scalonych cyfrowych","do układów scalonych analogowych","do scalonych pamięci"
33,1,33,"Kalkulator zawiera jeden układ scalony, wyświetlacz i klawiaturę. Do jakiej grupy zaliczymy układ scalony?","małej skali integracji","średniej skali integracji","wielkiej skali integracji"
34,1,34,"Lampa elektronowa pentoda posiada:","pięć elektrod","cztery elektrody","trzy elektrody"
35,1,35,"Cztery oporniki o wartościach 5 om zostały połączone szeregowo. Ile wynosi oporność zastępcza tych oporów?","10 om","20 om","40 om"
36,1,36,"Ile oporników o wartości 200 om należy połączyć równolegle by uzyskać sztuczne obciążenie antenowe 50 om?","5 szt","2 szt","4 szt"
37,1,37,"Na rysunku przedstawiono schemat prostownika. Jak nazywa się ten rodzaj prostownika?","prostownik dwupołówkowy","prostownik jednopołówkowy","prostownik mostkowy dwupołówkowy"
38,1,38,"Na rysunku przedstawiono schemat prostownika. Jak nazywa się ten rodzaj prostownika?","prostownik dwupołówkowy","prostownik jednopołówkowy","prostownik mostkowy dwupołówkowy"
39,1,39,"Wzmacniacz wzmacnia sygnały w zakresie od 100Hz do 10 kHz. Wzmacniacz ten nazywamy wzmacniaczem:","niskiej częstotliwości","wzmacniaczem pośredniej częstotliwości","wzmacniaczem selektywnym"
40,1,40,"Kiedy wzmacniacz jest przesterowany?","jak ma za duże napięcie zasilania","jak ma za duże napięcie wejściowe","jak pracuje w klasie C"
41,1,41,"W jakiej klasie ma pracować wzmacniacz rezonansowy w.cz. do wzmacniania sygnału SSB?","w klasie C","w klasie AB","impulsowo"
42,1,42,"Na rysunku przedstawiono schemat stabilizacji PLL w formie ponumerowanych ale nie opisanych bloków. Blok 1 to:","generator stabilizowany","komparator","dzielnik wzorca"
43,1,43,"Na rysunku przedstawiono schemat stabilizacji PLL w formie ponumerowanych ale nie opisanych bloków. Blok 4 to:","dzielnik wzorca","generator wzorca","dzielnik wzorca"
44,1,44,"Na rysunku przedstawiono schemat blokowy odbiornika bezpośredniego wzmocnienia z reakcją. Blok 3 to:","wzmacniacz akustyczny","detektor z reakcją","wzmacniacz w.cz."
45,1,45,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM z pojedynczą przemianą. Blok 1 to:","filtr wejściowy","wzmacniacz akustyczny","detektor AM"
46,1,46,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM z pojedynczą przemianą. Blok 5 to:","heterodyna","wzmacniacz akustyczny","detektor AM"
47,1,47,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 1 to:","wzmacniacz w.cz.","wzmacniacz akustyczny","detektor AM CW SSB"
48,1,48,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego AM, CW, SSB z podwójną przemianą częstotliwości. Blok 9 to:","wzmacniacz akustyczny","wzmacniacz pośredniej cz.","heterodyna"
49,1,49,"Na rysunku przedstawiono schemat blokowy odbiornika homodynowego CW i SSB, na jedno pasmo amatorskie. Blok 1 to:","filtr wejściowy","wzmacniacz akustyczny","heterodyna"
50,1,50,"Na rysunku przedstawiono schemat blokowy odbiornika superheterodynowego FM na pasmo 144 MHz z podwójną przemianą częstotliwości, pracującego w kanałach fonicznych, stabilizowany kwarcami. Blok 2 to:","wzmacniacz akustyczny","I mieszacz","wzmacniacz II p.cz."
51,1,51,"Jaka powinna być stabilność heterodyny w odbiorniku komunikacyjnym? Częstotliwość heterodyny na najwyższym zakresie po włączeniu odbiornika powinna zmieniać się nie więcej jak:","o 200Hz","o 500 Hz","o 1000 Hz"
52,1,52,"Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na jedno pasmo amatorskie. Blok 4 to:","filtr wyjściowy","wzmacniacz mocy (PA)","separator"
53,1,53,"Na rysunku przedstawiono schemat blokowy nadajnika telegraficznego na kilka pasm amatorskich z powielaniem częstotliwości. Blok 1 to:","wzmacniacz mocy (PA)","oscylator (VFO)","separator"
54,1,54,"Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 1 to:","wzmacniacz mocy (PA)","oscylator (VFO) 5 - 5.5 MHz","wzbudnica SSB 9 MHz"
55,1,55,"Na rysunku przedstawiono schemat blokowy nadajnika SSB na dwa pasma amatorskie z wzbudnicą 9 MHz. Blok 2 to:","wzmacniacz sterujący","mieszacz","filtr wyjściowy"
56,1,56,"Na rysunku przedstawiono schemat blokowy nadajnika UKF na pasmo 144MHz z powielaniem częstotliwości kanałowego generatora kwarcowego 8 MHz. Blok 1 to:","wzmacniacz mocy (PA)","generator kwarcowy modulowany","modulator"
57,1,57,"Na rysunku przedstawiono schemat blokowy nadajnika UKF na pasmo 144MHz z powielaniem częstotliwości kanałowego generatora kwarcowego 8 MHz. Blok 7 to:","modulator","filtr wyjściowy","I powielacz x 3"
58,1,58,"Jaka jest horyzontalna charakterystyka promieniowania dipola półfalowego zawieszonego poziomo?","dookólna","ósemkowa","kierunkowa w linii zawieszenia"
59,1,59,"Jaka jest horyzontalna charakterystyka promieniowania pionowej anteny ćwierćfalowej?","dookólna","kierunkowa","w kształcie koniczyny"
60,1,60,"Na rysunku przedstawiona jest antena typu Yagi. Element 1 to:","reflektor","radiator","I direktor"
61,1,61,"Na rysunku przedstawiona jest antena typu Yagi. Element 2 to:","radiator","II direktor","reflektor"
62,1,62,"Na rysunku przedstawiona jest antena typu Yagi. Element 3 to:","radiator","I direktor","II direktor"
63,1,63,"Na rysunku przedstawiona jest antena typu Yagi. Element 4 to:","I direktor","II direktor","radiator"
64,1,64,"Dlaczego kable koncentryczne nadawcze wykonywane są z opornością falową 50 om?","bo jest ona zbliżona do oporności dipola półfalowego","bo najłatwiej takie wykonać","bo wymagają do wykonania najmniejszej ilości materiału"
65,1,65,"W jakim przypadku powstaje w linii przesyłowej w.cz. fala stojąca?","kiedy kabel nie jest ułożony prosto","kiedy obok kabla koncentrycznego przechodzi inny kabel","kiedy oporność obciążenia nie jest zgodna z opornością falową kabla"
66,1,66,"Jak nazywa się przyrząd do mierzenia fali stojącej w kablu koncentrycznym?","rezystomierz","reflektometr","refraktometr"
67,1,67,"Reflektometr wskazuje że fala padająca równa jest odbitej. WFS równy jest nieskończoność. Co może być przyczyną takiego stanu?","zwarcie lub przerwa w kablu","niewielka zmiana oporności falowej anteny","zamoczenie izolacji w kablu"
68,1,68,"Połączenie niesymetrycznego kabla koncentrycznego 50 om do symetrycznej anteny o oporności falowej 50 om wymaga zastosowania:","transformatora impedancji 1 do 4","symetryzatora 1 do 1","baluna o przekładni 1 do 2"
69,1,69,"Czy stan jonosfery ma wpływ na rozchodzenie się fal krótkich?","słaby","tylko okresowo, w dzień","ma bardzo duży wpływ"
70,1,70,"Co jaki okres czasu następują bardzo dobre warunki propagacyjne i z czym to jest związane?","nieregularnie","co kilka lat w związku z ociepleniem","regularnie co 11 lat przy maksymalnej aktywności słonecznej"
71,1,71,"Co to jest zasięg horyzontalny na UKF?","zasięg wyznaczony linią horyzontu przy prostoliniowym rozchodzeniu się fal","zasięg obliczony z mocy promieniowanej e.i.r.p.","zasięg teoretyczny nadajnika"
72,1,72,"Dalekie rozchodzenie się fal UKF podczas inwersji temperaturowej w troposferze polega na:","na wielokrotnym odbijaniu się fal od ciepłej ziemi","na odbijaniu fal radiowych od ciepłego powietrza","prowadzeniu fal przez dukty powstałe z warstw ciepłego i zimnego powietrza"
73,1,73,"Skrót EME oznacza łączności na UKF:","z wykorzystaniem odbicia sygnału od Księżyca","wykorzystaniem do łączności siły elektromotorycznej SEM","za pomocą elektromagnetycznej emisji EME na UKF"
74,1,74,"Jak nazywa się przyrząd do pomiaru napięcia?","omomierz","woltomierz","amperomierz"
75,1,75,"Jakim przyrządem możemy zmierzyć wartość opornika?","omomierzem","woltomierzem","amperomierzem"
76,1,76,"Co to jest przyrząd uniwersalny wielozakresowy?","przyrząd do pomiaru tylko jednego napięcia","przyrząd do pomiarów, napięć, prądów, oporności, w wielu zakresach","przyrząd do pomiaru wielu napięć"
77,1,77,"Jak zmierzyć moc prądu stałego?","zmierzyć prąd i napięcie w obwodzie i obliczyć","zmierzyć oporność obwodu i obliczyć","zmierzyć prąd i obliczyć"
78,1,78,"Jak w warunkach amatorskich zmierzyć moc wyjściową nadajnika?","poprzez pomiar napięcia skutecznego na oporze sztucznej anteny 50 om i obliczenie","poprzez pomiar prądu i napięcia stałego doprowadzonego do stopnia mocy (PA)","poprzez uzyskanie raportu od korespondenta"
79,1,79,"Jakim przyrządem mierzymy dopasowanie obciążenia do kabla koncentrycznego?","żarówką włączoną w szereg na maksimum świecenia","sprawdzeniem czy kabel się nie grzeje","za pomocą reflektometru przelotowego"
80,1,80,"Jak zwalczamy zakłócenia rozprowadzane siecią energetyczną?","przez stosowanie grubych przewodów","przez stosowanie filtrów sieciowych i ekranowanie urządzeń oraz odpowiednią konstrukcję","przez zasilanie bateryjne urządzeń"
81,1,81,"Co to jest kompatybilność elektromagnetyczna (EMC)?","zamienność urządzeń","wymogi co do podobnej obsługi urządzeń elektrycznych","taka konstrukcja sprzętu, by urządzenia nie wpływały na siebie i mogły pracować bez powodowania wzajemnych zakłóceń"
82,1,82,"Jeżeli nadajnik amatorski powoduje zakłócenia, to jakie elementy sprawdzamy w pierwszej kolejności?","zawieszenie anteny","odbiornik","liniowość stopnia mocy (PA) i filtr wyjściowy"
83,1,83,"Dlaczego w zabudowie miejskiej stosujemy do anten kable koncentryczne?","bo są ogólnie dostępne","bo są trwałe","bo przy dopasowaniu nie promieniują energii i mogą przechodzić obok innych anten i urządzeń"
84,1,84,"Jeżeli nadajnik promieniuje energię w.cz. poprzez sieć zasilającą to stosujemy:","filtr w.cz. na wyjściu antenowym nadajnika","uziemiamy obudowę","uziemiamy obudowę i włączamy filtr sieciowy w zasilanie"
85,1,85,"Jaka instytucja zajmuje się lokalizowaniem zakłóceń radiowych i radioelektrycznych oraz badaniem sprzętu radionadawczego?","Urząd Komunikacji Elektronicznej","Ministerstwo Ochrony Środowiska","Sztaby antykryzysowe"
86,1,86,"Prąd elektryczny w przewodzie metalowym płynie dzięki obecności w nim:","swobodnych jonów","wolnych elektronów","wolnych atomów"
87,1,87,"Jak zmienia się opór przewodu miedzianego podczas wzrostu temperatury?","opór maleje","opór rośnie","nie zmienia się"
88,1,88,"Jaki ładunek ma elektron?","dodatni","nie posiada ładunku","ujemny"
89,1,89,"W obwodach elektrycznych przyjmujemy, że kierunek przepływu prądu odbywa się:","od wyższego potencjału + do niższego –","w prawo zgodnie z wskazówkami zegara","przeciwnie do wskazówek zegara"
90,1,90,"W obwodzie prądu stałego przez opornik 1000 om płynie prąd 2 mA. Jaki jest spadek napięcia na oporze?","spadek wynosi 500 V","spadek wynosi 2000 V","spadek wynosi 2 V"
91,1,91,"Akumulator ma napięcie 6,5 V. Do akumulatora chcemy podłączyć żarówkę 3,5 V 0,3 A. Jaki opornik należy włączyć w szereg, by ograniczyć prąd?","opornik 3,5 om","opornik 100 om","opornik 10 om"
92,1,92,"Opornik ma 200 om. Płynie przez niego prąd 300 mA. Jaka jest moc tracona w oporze?","18 W","1800 W","1,8 W"
93,1,93,"98. Jakie napięcie występuje na oporze 50 om przy dostarczeniu do niego mocy 200 W?","100 V","200 V","50 V"
94,1,94,"Mamy opornik 100 om dołączony do napięcia 3 V. Z jakiej grupy mocy wybierzemy opornik?","grupa 1 W","grupa 0,125 W","grupa 0,5 W"
95,1,95,"Jaka jest częstotliwość prądu zmiennego, którego okres wynosi 0,02 sek.?","100 Hz","50 Hz","60 Hz"
96,1,96,"Wartość amplitudy napięcia sinusoidalnego wynosi 200 V. Jaka jest wartość skuteczna napięcia?","200 V","400 V","141,8 V"
97,1,97,"Napięcie międzyszczytowe sinusoidalnego napięcia zmiennego wynosi 678 V. Ile wynosi wartość skuteczna tego napięcia?","340 V","240 V","680 V"
98,1,98,"Siła elektromotoryczna ogniwa wynosi 1,5 V. Oporność wewnętrzna ogniwa wynosi 0,1 oma. Z ogniwa pobieramy prąd 1 A. Jakie będzie napięcie na zaciskach ogniwa?","1.5 V","1 V","1,4 V"
99,1,99,"Pole elektryczne nazywamy jednorodnym jeżeli:","linie sił pola są prostopadłe","linie układają się w koła","linie sił są równoległe"
100,1,100,"Pole elektryczne może być ekranowane za pomocą:","ekranów z blach metalowych","ekranów z izolatorów","ekranów z luster"
101,1,101,"Do jakich materiałów magnetycznych należą magnesy stałe?","materiałów paramagnetycznych","materiałów magnetycznie twardych","magnetycznie miękkich"
102,1,102,"Dlaczego rdzenie transformatorów wykonywane są z blaszek a nie z litego materiału?","ze względu na lepsze chłodzenie","ze względu na łatwiejsze wykonanie","ze względu na mniejsze straty przy prądach wirowych"
103,1,103,"Ekranowanie pól magnetycznych wykonujemy z materiałów:","izolacyjnych","z materiałów o wysokiej przenikalności magnetycznej","z materiałów o małym oporze właściwym"
104,1,104,"Fala elektromagnetyczna ma dwie składowe. Zaznacz która kombinacja jest poprawna:","składowa elektryczna i składowa prędkości","składowa elektryczna i magnetyczna","składowa magnetyczna i składowa prędkości"
105,1,105,"Częstotliwość pracy nadajnika amatorskiego wynosi 3,5714 MHz. Jaka jest dokładna długość fali tego nadajnika?","80 m","84 m","81,08 m"
106,1,106,"Czy czysty sygnał sinusoidalny 1000 Hz, zawiera harmoniczne 2000 Hz i 3000 Hz?","zawiera tylko 2000 Hz","zawiera obie harmoniczne","nie zawiera w ogóle harmonicznych"
107,1,107,"Czy można prowadzić powielanie częstotliwości w stopniu mocy nadajnika?","tak","nie","jest to bez znaczenia"
108,1,108,"Przy modulacji amplitudy AM szerokość kanału radiowego zależy od:","najniższych częstotliwości modulujących","amplitudy modulującego sygnału","najwyższych częstotliwości modulujących"
109,1,109,"Modulacja cyfrowa FSK oznacza przesyłanie sygnału telegrafii maszynowej RTTY za pomocą:","modulacji amplitudy","modulacji fazy","modulacji z przesuwem częstotliwości"
110,1,110,"Moc wyjściową nadajnika FM podano w dBW i wynosi ona 13 dBW. Ile to jest w watach? (dla ułatwienia podajemy, że 10 dBW odpowiada 10 W)","5 W","130 W","20 W"
111,1,111,"Napięcie na wejściu odbiornika na oporności 50 om wynosi 10 μV. Napięcie to wzrosło do 100 μV. O ile wzrosło napięcie wyrażone w dB?","o 10 dB","o 20 dB","o 40 dB"
112,1,112,"Zasilacz nadajnika dostarcza do stopnia końcowego nadajnika napięcie 500 V i prąd 200 mA. Jaka jest sprawność energetyczna stopnia końcowego w % jeżeli na wyjściu zmierzyliśmy moc PEP = 40 W?","50 %","40 %","60 %"
113,1,113,"Tolerancja wykonania opornika 1 kom wynosi 5 %. W jakich granicach zawiera się jego oporność?","od 0,9 do 1,1 kom","od 0,98 do 1,02 kom","od 950 om do 1050 om"
114,1,114,"Spadek napięcia na oporniku wynosi 100 V, przy prądzie 10 mA. Opornik jakiej mocy zastosujemy w tym miejscu?","0,125 W","1 W","0,5 W"
115,1,115,"Kondensator mikowy ma pojemność 6800 pF, i napięcie pracy 500V. Czy można go zastosować w miejsce kondensatora 6,8 nF o napięciu pracy 250 V?","tak można","nie można","można, ale potrzebne są dwa takie kondensatory"
116,1,116,"W obwodzie prądu zmiennego przy tej samej częstotliwości zmieniono kondensator 2200 pF na 22 nF. Ile razy zmniejszyła się zawada Xc?","2 razy","100 razy","10 razy"
117,1,117,"Prąd zmienny płynący przez kondensator C:","wyprzedza napięcie na kondensatorze o 90 stopni","jest w fazie z napięciem","opóźnia się o 90 stopni wobec napięcia"
118,1,118,"Tranzystor krzemowy ma wzmocnienie prądowe β = 100. Napięcie zasilania wynosi 5 V. Przez kolektor tego tranzystora płynie prąd 100 mA. Jaki jest prąd bazy tego tranzystora?","1 mA","5 mA","20 mA"
119,1,119,"Przy jakich napięciach anodowych pracują amatorskie lampowe wzmacniacze mocy?","do 200 V","do 50 V","od 1,5 kV do 3 kV"
120,1,120,"W jakiej klasie wzmacniacza pracuje lampowy stopień mocy nadajnika telegraficznego?","w klasie A","w klasie C","w klasie AB"
121,1,121,"Mamy dwa kondensatory o pojemności jeden 4,7 nF a drugi 300 pF. Jak należy je połączyć by uzyskać pojemność 5000 pF?","szeregowo","równolegle","nie da się z nich złożyć 5000 pF"
122,1,122,"W układzie były trzy kondensatory po 30 μF połączone szeregowo . Każdy z nich ma napięcie pracy 100V. Czy możemy je zastąpić jednym kondensatorem 10 μF i o jakim napięciu pracy?","nie możemy","możemy stosując kondensator na napięcie 100 V","możemy, stosując kondensator na napięcie 300V"
123,1,123,"Dwie indukcyjności nie sprzężone mają 30 μH i 60 μH. Ile wynosi indukcyjność zastępcza przy połączeniu szeregowym tych indukcyjności?","90 μH","20 μH","45 μH"
124,1,124,"Dwa oporniki 1 kom połączone są w szereg i dołączone do napięcia 200 V. Jaki jest spadek napięcia na każdym z tych oporników?","50 V","100 V","200 V"
